"","provider","id","procedure","amt","age","sex","edu","eth","race","value","iv"
"1","Prolific",1,"aa",1,24,0,NA,1,1,0.96875,7
"2","Prolific",1,"aa",1,24,0,NA,1,1,0.96875,30
"3","Prolific",1,"aa",1,24,0,NA,1,1,0.71875,90
"4","Prolific",1,"aa",1,24,0,NA,1,1,0.46875,180
"5","Prolific",1,"aa",2,24,0,NA,1,1,0.96875,7
"6","Prolific",1,"aa",2,24,0,NA,1,1,0.96875,30
"7","Prolific",1,"aa",2,24,0,NA,1,1,0.46875,90
"8","Prolific",1,"aa",2,24,0,NA,1,1,0.46875,180
"9","Prolific",1,"aa",3,24,0,NA,1,1,0.96875,7
"10","Prolific",1,"aa",3,24,0,NA,1,1,0.96875,30
"11","Prolific",1,"aa",3,24,0,NA,1,1,0.96875,90
"12","Prolific",1,"aa",3,24,0,NA,1,1,0.78125,180
"13","Prolific",1,"aa",3,24,0,NA,1,1,0.09375,730
"14","Prolific",2,"aa",1,25,1,1,1,1,0.53125,7
"15","Prolific",2,"aa",1,25,1,1,1,1,0.03125,30
"16","Prolific",2,"aa",1,25,1,1,1,1,0.03125,90
"17","Prolific",2,"aa",1,25,1,1,1,1,0.03125,180
"18","Prolific",2,"aa",2,25,1,1,1,1,0.78125,7
"19","Prolific",2,"aa",2,25,1,1,1,1,0.21875,30
"20","Prolific",2,"aa",2,25,1,1,1,1,0.03125,90
"21","Prolific",2,"aa",2,25,1,1,1,1,0.03125,180
"22","Prolific",2,"aa",3,25,1,1,1,1,0.84375,7
"23","Prolific",2,"aa",3,25,1,1,1,1,0.21875,30
"24","Prolific",2,"aa",3,25,1,1,1,1,0.46875,90
"25","Prolific",2,"aa",3,25,1,1,1,1,0.21875,180
"26","Prolific",2,"aa",3,25,1,1,1,1,0.03125,730
"27","Prolific",3,"aa",1,32,1,NA,1,0,0.96875,7
"28","Prolific",3,"aa",1,32,1,NA,1,0,0.96875,30
"29","Prolific",3,"aa",1,32,1,NA,1,0,0.96875,90
"30","Prolific",3,"aa",1,32,1,NA,1,0,0.84375,180
"31","Prolific",3,"aa",2,32,1,NA,1,0,0.96875,7
"32","Prolific",3,"aa",2,32,1,NA,1,0,0.96875,30
"33","Prolific",3,"aa",2,32,1,NA,1,0,0.90625,90
"34","Prolific",3,"aa",2,32,1,NA,1,0,0.90625,180
"35","Prolific",3,"aa",3,32,1,NA,1,0,0.96875,7
"36","Prolific",3,"aa",3,32,1,NA,1,0,0.96875,30
"37","Prolific",3,"aa",3,32,1,NA,1,0,0.96875,90
"38","Prolific",3,"aa",3,32,1,NA,1,0,0.96875,180
"39","Prolific",3,"aa",3,32,1,NA,1,0,0.90625,730
"40","Prolific",4,"aa",1,29,0,NA,0,1,0.46875,7
"41","Prolific",4,"aa",1,29,0,NA,0,1,0.21875,30
"42","Prolific",4,"aa",1,29,0,NA,0,1,0.21875,90
"43","Prolific",4,"aa",1,29,0,NA,0,1,0.09375,180
"44","Prolific",4,"aa",2,29,0,NA,0,1,0.90625,7
"45","Prolific",4,"aa",2,29,0,NA,0,1,0.46875,30
"46","Prolific",4,"aa",2,29,0,NA,0,1,0.46875,90
"47","Prolific",4,"aa",2,29,0,NA,0,1,0.34375,180
"48","Prolific",4,"aa",3,29,0,NA,0,1,0.96875,7
"49","Prolific",4,"aa",3,29,0,NA,0,1,0.78125,30
"50","Prolific",4,"aa",3,29,0,NA,0,1,0.78125,90
"51","Prolific",4,"aa",3,29,0,NA,0,1,0.78125,180
"52","Prolific",4,"aa",3,29,0,NA,0,1,0.09375,730
"53","Prolific",5,"aa",1,31,0,1,0,1,0.84375,7
"54","Prolific",5,"aa",1,31,0,1,0,1,0.65625,30
"55","Prolific",5,"aa",1,31,0,1,0,1,0.46875,90
"56","Prolific",5,"aa",1,31,0,1,0,1,0.46875,180
"57","Prolific",5,"aa",2,31,0,1,0,1,0.96875,7
"58","Prolific",5,"aa",2,31,0,1,0,1,0.90625,30
"59","Prolific",5,"aa",2,31,0,1,0,1,0.90625,90
"60","Prolific",5,"aa",2,31,0,1,0,1,0.84375,180
"61","Prolific",5,"aa",3,31,0,1,0,1,0.96875,7
"62","Prolific",5,"aa",3,31,0,1,0,1,0.90625,30
"63","Prolific",5,"aa",3,31,0,1,0,1,0.90625,90
"64","Prolific",5,"aa",3,31,0,1,0,1,0.84375,180
"65","Prolific",5,"aa",3,31,0,1,0,1,0.40625,730
"66","Prolific",6,"aa",1,29,0,0,1,1,0.96875,7
"67","Prolific",6,"aa",1,29,0,0,1,1,0.59375,30
"68","Prolific",6,"aa",1,29,0,0,1,1,0.46875,90
"69","Prolific",6,"aa",1,29,0,0,1,1,0.46875,180
"70","Prolific",6,"aa",2,29,0,0,1,1,0.96875,7
"71","Prolific",6,"aa",2,29,0,0,1,1,0.78125,30
"72","Prolific",6,"aa",2,29,0,0,1,1,0.78125,90
"73","Prolific",6,"aa",2,29,0,0,1,1,0.46875,180
"74","Prolific",6,"aa",3,29,0,0,1,1,0.96875,7
"75","Prolific",6,"aa",3,29,0,0,1,1,0.96875,30
"76","Prolific",6,"aa",3,29,0,0,1,1,0.90625,90
"77","Prolific",6,"aa",3,29,0,0,1,1,0.90625,180
"78","Prolific",6,"aa",3,29,0,0,1,1,0.46875,730
"79","Prolific",7,"aa",1,28,1,NA,1,0,0.96875,7
